LOAN_ID,ACT_PERIOD,CHANNEL,ORIG_RATE,ORIG_UPB,ORIG_TERM,ORIG_DATE,FIRST_PAY,OLTV,OCLTV,NUM_BO,DTI,CSCORE_B,CSCORE_C,FIRST_FLAG,PURPOSE,PROP,NO_UNITS,OCC_STAT,STATE,MSA,MI_PCT,MI_TYPE,HOMEREADY_PROGRAM_INDICATOR,RELOCATION_MORTGAGE_INDICATOR,PROPERTY_INSPECTION_WAIVER_INDICATOR,HIGH_BALANCE_LOAN_INDICATOR,PREPAID_FLAG,DEFAULT_FLAG
98837523,2020-01-01,C,3.625,126000.0,360,2019-10-01,2019-12-01,80,80,1,22.0,726.0,0.0,Y,P,SF,1,P,OH,17460,0.0,0.0,N,N,A,N,0,0
98837530,2020-01-01,C,4.125,113000.0,360,2019-10-01,2019-12-01,70,70,1,9.0,691.0,0.0,N,C,SF,1,P,VA,44420,0.0,0.0,N,N,A,N,0,0
98837534,2020-01-01,R,3.875,224000.0,360,2019-11-01,2020-01-01,76,76,1,45.0,726.0,0.0,N,R,SF,1,P,OH,18140,0.0,0.0,N,N,A,N,1,0
98837535,2020-01-01,R,5.75,232000.0,360,2019-12-01,2020-02-01,80,80,1,45.0,693.0,0.0,N,C,SF,1,P,GA,17980,0.0,0.0,N,N,A,N,1,0
98837537,2020-01-01,R,4.375,180000.0,360,2019-12-01,2020-02-01,75,75,2,14.0,757.0,765.0,N,C,SF,1,P,GA,12060,0.0,0.0,N,N,A,N,1,0
98837538,2020-01-01,R,4.375,200000.0,360,2019-12-01,2020-02-01,80,80,1,41.0,757.0,0.0,N,C,SF,1,P,CO,39380,0.0,0.0,N,N,A,N,1,0
98837550,2020-01-01,R,4.375,70000.0,360,2019-12-01,2020-02-01,75,75,1,25.0,806.0,0.0,N,P,SF,1,I,VA,31340,0.0,0.0,N,N,A,N,0,0
98837560,2020-01-01,R,3.75,335000.0,360,2019-12-01,2020-02-01,90,90,1,47.0,729.0,0.0,N,P,PU,1,P,OH,10420,25.0,1.0,N,N,A,N,1,0
98837563,2020-01-01,R,4.25,73000.0,360,2019-12-01,2020-02-01,97,97,1,29.0,730.0,0.0,Y,P,SF,1,P,MI,28020,35.0,1.0,N,N,A,N,0,0
98837571,2020-01-01,C,4.75,531000.0,360,2019-12-01,2020-02-01,90,90,1,39.0,705.0,0.0,N,P,PU,1,P,CO,19740,25.0,1.0,N,N,A,Y,1,0
98837587,2020-01-01,R,4.0,199000.0,360,2019-10-01,2019-12-01,97,97,1,40.0,754.0,0.0,Y,P,CO,1,P,VA,47900,35.0,1.0,N,N,A,N,0,0
98837596,2020-01-01,B,3.875,192000.0,360,2019-12-01,2020-02-01,63,63,1,42.0,714.0,0.0,N,R,SF,1,P,MI,19820,0.0,0.0,N,N,W,N,1,0
98837600,2020-01-01,R,3.75,294000.0,360,2020-01-01,2020-03-01,78,78,2,30.0,717.0,710.0,N,R,SF,1,P,CO,24540,0.0,0.0,N,N,W,N,1,0
98837606,2020-01-01,C,3.75,320000.0,360,2019-12-01,2020-02-01,97,97,1,34.0,699.0,0.0,Y,P,CO,1,P,VA,47900,25.0,1.0,Y,N,A,N,1,0
98837607,2020-01-01,R,3.875,364000.0,360,2019-12-01,2020-02-01,97,97,1,36.0,729.0,0.0,Y,P,SF,1,P,GA,12060,25.0,1.0,N,N,A,N,0,0
98837615,2020-01-01,C,4.0,484000.0,360,2019-10-01,2019-12-01,93,93,1,41.0,688.0,0.0,Y,P,PU,1,P,OH,17140,30.0,1.0,N,N,A,N,1,0
98837617,2020-01-01,R,3.375,266000.0,360,2019-12-01,2020-02-01,91,91,1,26.0,778.0,0.0,N,P,PU,1,P,VA,0,30.0,1.0,N,N,A,N,0,0
98837621,2020-01-01,R,3.99,231000.0,360,2019-12-01,2020-02-01,68,68,1,30.0,792.0,0.0,N,C,PU,1,P,CO,22660,0.0,0.0,N,N,W,N,1,0
98837630,2020-01-01,R,4.0,318000.0,360,2019-12-01,2020-02-01,78,78,1,26.0,784.0,0.0,N,R,SF,1,P,MI,24340,0.0,0.0,N,N,W,N,1,0
98837649,2020-01-01,R,4.625,124000.0,360,2019-11-01,2020-01-01,97,97,1,38.0,785.0,0.0,Y,P,PU,1,P,GA,42340,35.0,2.0,N,N,A,N,0,0
98837652,2020-01-01,R,4.125,257000.0,360,2019-12-01,2020-02-01,90,90,1,49.0,746.0,0.0,N,R,CO,1,P,MI,19820,25.0,1.0,N,N,W,N,1,0
98837670,2020-01-01,R,4.25,112000.0,360,2019-11-01,2020-01-01,87,87,1,33.0,724.0,0.0,N,R,MH,1,P,OH,0,25.0,1.0,N,N,A,N,0,0
98837678,2020-01-01,C,4.25,87000.0,360,2019-12-01,2020-02-01,97,97,1,16.0,723.0,0.0,Y,P,SF,1,P,OH,17460,35.0,1.0,N,N,A,N,0,0
98837709,2020-01-01,C,4.0,260000.0,360,2020-01-01,2020-03-01,68,68,2,47.0,792.0,706.0,N,C,SF,1,P,MI,19820,0.0,0.0,N,N,A,N,0,0
98837712,2020-01-01,B,3.5,112000.0,360,2019-11-01,2020-01-01,69,69,2,44.0,817.0,810.0,Y,P,SF,1,P,OH,49660,0.0,0.0,N,N,A,N,1,0
98837717,2020-01-01,R,3.875,140000.0,360,2019-12-01,2020-02-01,78,78,1,47.0,766.0,0.0,Y,P,CO,1,P,CO,19740,0.0,0.0,Y,N,W,N,1,0
