LOAN_ID,ACT_PERIOD,CHANNEL,ORIG_RATE,ORIG_UPB,ORIG_DATE,FIRST_PAY,OLTV,NUM_BO,DTI,CSCORE_B,FIRST_FLAG,PURPOSE,PROP,NO_UNITS,OCC_STAT,STATE,MSA,HOMEREADY_PROGRAM_INDICATOR,RELOCATION_MORTGAGE_INDICATOR,PROPERTY_INSPECTION_WAIVER_INDICATOR,HIGH_BALANCE_LOAN_INDICATOR,PREPAID_FLAG,DEFAULT_FLAG,MI,TERM,DTI_LTV,DTI_UPB
98838412,2020-01-01,C,3.625,463000.0,2019-12-01,2020-02-01,62,1,12.0,782.0,0,R,SF,1,S,MI,0,0,0,W,0,1,0,0,30y,0.1935483870967742,2.591792656587473e-05
98838416,2020-01-01,R,3.99,222000.0,2019-12-01,2020-02-01,91,2,32.0,759.0,0,R,SF,1,P,MI,19820,0,0,A,0,1,0,1,other,0.3516483516483517,0.00014414414414414415
98838427,2020-01-01,C,4.375,200000.0,2019-12-01,2020-02-01,93,2,41.0,788.0,1,P,SF,1,P,MI,19820,0,0,A,0,1,0,1,30y,0.44086021505376344,0.000205
98838431,2020-01-01,C,3.875,295000.0,2019-12-01,2020-02-01,86,2,45.0,773.0,1,P,PU,1,P,GA,12060,0,0,A,0,1,0,1,30y,0.5232558139534884,0.00015254237288135592
98838436,2020-01-01,R,3.99,200000.0,2019-12-01,2020-02-01,65,1,41.0,779.0,0,C,SF,1,P,CO,19740,0,0,A,0,1,0,0,30y,0.6307692307692307,0.000205
98838444,2020-01-01,C,4.875,180000.0,2019-11-01,2020-01-01,75,1,42.0,752.0,0,P,SF,2,I,MI,19820,0,0,A,0,1,0,0,30y,0.56,0.00023333333333333333
98838447,2020-01-01,R,4.0,422000.0,2019-12-01,2020-02-01,97,2,28.0,762.0,1,P,PU,1,P,CO,19740,0,0,A,0,1,0,1,30y,0.28865979381443296,6.635071090047393e-05
98838468,2020-01-01,R,4.125,176000.0,2019-12-01,2020-02-01,67,1,25.0,789.0,0,C,PU,1,P,GA,12060,0,0,A,0,1,0,0,30y,0.373134328358209,0.00014204545454545454
98838470,2020-01-01,R,4.875,503000.0,2019-11-01,2020-01-01,75,2,36.0,669.0,0,C,PU,1,P,VA,47900,0,0,A,0,1,0,0,30y,0.48,7.157057654075547e-05
98838472,2020-01-01,R,3.75,277000.0,2019-12-01,2020-02-01,69,1,30.0,755.0,0,C,SF,1,P,MI,19820,0,0,A,0,0,0,0,30y,0.43478260869565216,0.00010830324909747292
98838473,2020-01-01,R,3.75,175000.0,2019-10-01,2019-12-01,70,1,32.0,809.0,0,C,SF,1,P,MI,0,0,0,W,0,0,0,0,30y,0.45714285714285713,0.00018285714285714286
98838477,2020-01-01,B,3.625,290000.0,2019-12-01,2020-02-01,66,2,46.0,783.0,1,P,SF,1,P,VA,47900,0,0,P,0,0,0,0,30y,0.696969696969697,0.0001586206896551724
98838479,2020-01-01,R,3.875,346000.0,2020-01-01,2020-03-01,72,2,28.0,794.0,0,R,SF,1,P,MI,24340,0,0,W,0,0,0,0,30y,0.3888888888888889,8.092485549132948e-05
98838494,2020-01-01,C,3.625,380000.0,2019-11-01,2020-01-01,95,1,46.0,756.0,1,P,PU,1,P,VA,47900,1,0,A,0,0,0,1,30y,0.4842105263157895,0.00012105263157894736
98838503,2020-01-01,B,3.75,226000.0,2019-12-01,2020-02-01,97,1,36.0,793.0,1,P,PU,1,P,MI,19820,0,0,A,0,1,0,1,30y,0.3711340206185567,0.0001592920353982301
98838524,2020-01-01,C,4.0,226000.0,2019-11-01,2020-01-01,97,1,42.0,720.0,1,P,CO,1,P,CO,19740,1,0,A,0,1,0,1,30y,0.4329896907216495,0.00018584070796460176
98838532,2020-01-01,R,3.5,114000.0,2019-12-01,2020-02-01,71,1,25.0,787.0,0,R,SF,1,P,OH,19430,0,0,A,0,0,0,0,other,0.352112676056338,0.0002192982456140351
98838543,2020-01-01,R,4.625,134000.0,2019-12-01,2020-02-01,80,1,27.0,726.0,0,C,SF,1,P,GA,12060,0,0,A,0,1,0,0,30y,0.3375,0.00020149253731343284
98838547,2020-01-01,R,4.125,348000.0,2020-01-01,2020-03-01,70,2,16.0,802.0,0,C,SF,1,P,MI,19820,0,0,W,0,1,0,0,30y,0.22857142857142856,4.597701149425287e-05
98838552,2020-01-01,R,4.375,107000.0,2019-11-01,2020-01-01,73,1,30.0,690.0,0,R,SF,1,P,OH,0,0,0,W,0,1,0,0,30y,0.410958904109589,0.00028037383177570094
98838562,2020-01-01,R,3.25,105000.0,2019-12-01,2020-02-01,55,1,37.0,746.0,0,R,SF,1,P,OH,17140,0,0,A,0,1,0,0,other,0.6727272727272727,0.0003523809523809524
98838564,2020-01-01,C,3.75,218000.0,2019-12-01,2020-02-01,83,1,17.0,757.0,0,R,SF,1,P,CO,39380,0,0,W,0,1,0,1,30y,0.20481927710843373,7.798165137614678e-05
98838568,2020-01-01,R,3.875,183000.0,2020-01-01,2020-03-01,84,1,42.0,787.0,0,R,SF,1,P,MI,11460,0,0,A,0,1,0,1,30y,0.5,0.00022950819672131148
98838590,2020-01-01,R,3.5,400000.0,2019-12-01,2020-02-01,90,2,40.0,765.0,0,R,CO,1,P,MI,19820,0,0,A,0,0,1,1,30y,0.4444444444444444,0.0001
98838591,2020-01-01,R,3.99,384000.0,2019-12-01,2020-02-01,87,2,29.0,761.0,0,R,PU,1,P,VA,47900,0,0,W,0,1,0,1,other,0.3333333333333333,7.552083333333334e-05
98838608,2020-01-01,R,3.875,223000.0,2019-12-01,2020-02-01,95,1,36.0,682.0,0,R,PU,1,P,GA,12060,0,0,A,0,1,0,1,30y,0.37894736842105264,0.00016143497757847535
98838612,2020-01-01,R,3.875,164000.0,2019-11-01,2020-01-01,90,1,10.0,808.0,0,P,SF,1,S,MI,0,0,0,A,0,0,0,1,30y,0.1111111111111111,6.097560975609756e-05
98838615,2020-01-01,C,3.75,215000.0,2019-12-01,2020-02-01,90,2,43.0,809.0,0,P,PU,1,P,OH,17460,0,0,A,0,0,0,1,30y,0.4777777777777778,0.0002
